pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
9ESpeGMXdt6qRUu3B2xnSQ,19.47414852089944,-99.11761253239715,,,,False,1614.7297297297298,148,132,0.8918918918918919,0.8112645745277405,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_9ESpeGMXdt6qRUu3B2xnSQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/9ESpeGMXdt6qRUu3B2xnSQ.jpg,
BU_z24DGtUByuT1B65a2SA,19.47476860328039,-99.12100642822219,,,,False,1614.6019108280254,157,132,0.8407643312101911,0.5927826762199402,270,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_BU_z24DGtUByuT1B65a2SA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/BU_z24DGtUByuT1B65a2SA.jpg,
iBhDXMuslhYJwJPzyc-DwQ,19.47620104306715,-99.12044693203364,,,,False,1598.9108844003476,143,131,0.916083916083916,0.37068915367126465,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_iBhDXMuslhYJwJPzyc-DwQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/iBhDXMuslhYJwJPzyc-DwQ.jpg,
fHEB3s2yq9yYcRi7aiaQzQ,19.4759320997171,-99.12078463863493,,,,False,1506.8837209302326,129,123,0.9534883720930233,0.7374014854431152,180,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_fHEB3s2yq9yYcRi7aiaQzQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/fHEB3s2yq9yYcRi7aiaQzQ.jpg,
YQ1ebowSS6GaQ-Id0qX6Jg,19.47549150225666,-99.11908826838011,,,,False,1470.6496286460986,143,121,0.8461538461538461,0.10114146769046783,45,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_YQ1ebowSS6GaQ-Id0qX6Jg.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/YQ1ebowSS6GaQ-Id0qX6Jg.jpg,
9Hcvu9-K1H1oaSExxl2Tjw,19.47843345713601,-99.12114699940624,,,,False,1458.7037037037037,135,119,0.8814814814814815,0.8613084554672241,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_9Hcvu9-K1H1oaSExxl2Tjw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/9Hcvu9-K1H1oaSExxl2Tjw.jpg,
Y9fHafiWWe1zKUMFs1BcHA,19.47512886748073,-99.11524313830344,,,,False,1377.8989090120792,125,113,0.904,0.2046303004026413,180,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_Y9fHafiWWe1zKUMFs1BcHA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/Y9fHafiWWe1zKUMFs1BcHA.jpg,
5YrnU_UJXdDY2hS2CbylbQ,19.47409010556292,-99.1214760973561,,,,False,1374.758064516129,124,112,0.9032258064516129,0.7811935544013977,45,-4,full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_5YrnU_UJXdDY2hS2CbylbQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/5YrnU_UJXdDY2hS2CbylbQ.jpg,
I6yQParP2GKmQwdQXeNnzw,19.46976158777503,-99.11765415318123,,,,False,1224.4351752711846,111,100,0.9009009009009009,0.28943076729774475,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_I6yQParP2GKmQwdQXeNnzw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/I6yQParP2GKmQwdQXeNnzw.jpg,
jR3Egpehoj05m51f0TSZPA,19.47929815787647,-99.11945070587983,,,,False,1218.8798076923076,104,99,0.9519230769230769,0.676372230052948,0,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/coarse/z1_jR3Egpehoj05m51f0TSZPA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/coarse/jR3Egpehoj05m51f0TSZPA.jpg,
