pano_id,lat,lon,date,source,parent_id,is_historical,best_score,good_matches,inliers,inlier_ratio,coverage,yaw,pitch,target_crop,pano_path,view_path,error
wHigtlVuYffSGLlE6c-6ew,19.47636893737609,-99.11667180715568,,,,False,1794.5530726256984,179,147,0.8212290502793296,0.6284245848655701,270,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_wHigtlVuYffSGLlE6c-6ew.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/wHigtlVuYffSGLlE6c-6ew.jpg,
atqBHaSXSBb3ejzMhiuH8w,19.47820063328556,-99.11646640752507,,,,False,1614.7147651006712,149,132,0.8859060402684564,0.7345600128173828,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_atqBHaSXSBb3ejzMhiuH8w.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/atqBHaSXSBb3ejzMhiuH8w.jpg,
Eq4_b-BKN6TcjB_gzfFkKw,19.47253529592198,-99.11933318578356,,,,False,1494.8461538461538,130,122,0.9384615384615385,0.8237304091453552,90,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_Eq4_b-BKN6TcjB_gzfFkKw.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/Eq4_b-BKN6TcjB_gzfFkKw.jpg,
9IwcMYpOpB59jfGRh5zQ1w,19.47630247388972,-99.11969689078006,,,,False,1444.277975589424,154,118,0.7662337662337663,0.42874637246131897,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_9IwcMYpOpB59jfGRh5zQ1w.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/9IwcMYpOpB59jfGRh5zQ1w.jpg,
0GHypDurF1D7kuAUS3bUMA,19.4729036234627,-99.12173469939022,,,,False,1266.799107142857,112,103,0.9196428571428571,0.6086968779563904,315,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_0GHypDurF1D7kuAUS3bUMA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/0GHypDurF1D7kuAUS3bUMA.jpg,
SK7p-9u_n_rd9dHwrljs5g,19.47030157218027,-99.11815098713727,,,,False,1265.8696808510638,188,103,0.5478723404255319,0.8218561410903931,180,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_SK7p-9u_n_rd9dHwrljs5g.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/SK7p-9u_n_rd9dHwrljs5g.jpg,
iUgEEmlGmtoCRxzBtMMcfA,19.47600308863686,-99.12408199649363,,,,False,1206.7272727272727,110,98,0.8909090909090909,0.5502743721008301,90,-4,upper_full,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_iUgEEmlGmtoCRxzBtMMcfA.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/iUgEEmlGmtoCRxzBtMMcfA.jpg,
RnfcgOniYbXjpCtxE3ff5g,19.46987985125584,-99.11732777252328,,,,False,1194.7247706422017,109,97,0.8899082568807339,0.6465557217597961,135,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_RnfcgOniYbXjpCtxE3ff5g.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/RnfcgOniYbXjpCtxE3ff5g.jpg,
n-mAzSgdxcwqJvHGuI9DPQ,19.47821606119374,-99.12289001821331,,,,False,1134.324812186214,106,92,0.8679245283018868,0.48850002884864807,0,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_n-mAzSgdxcwqJvHGuI9DPQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/n-mAzSgdxcwqJvHGuI9DPQ.jpg,
6JLU4y_lapOqGN3Dxq9ALQ,19.47180914733575,-99.11533625468721,,,,False,1123.941469669643,99,92,0.9292929292929293,0.1372745782136917,225,-4,left_houses,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/panoramas/rapid/z1_6JLU4y_lapOqGN3Dxq9ALQ.jpg,/home/runner/work/sample_website/sample_website/.cache/gsv_estrella_fast/best_views/rapid/6JLU4y_lapOqGN3Dxq9ALQ.jpg,
